Country,Region,Population,Area,Pop. Density,GDP,Literacy,Phones,Arable,Crops,Birthrate
Chile,LATIN AMER. & CARIB,16134219,756950,21.3,9900,96.2,213,2.65,0.42,15.23
Colombia,LATIN AMER. & CARIB,43593035,1138910,38.3,6300,92.5,176.2,2.42,1.67,20.48
Costa Rica,LATIN AMER. & CARIB,4075261,51100,79.8,9100,96,340.7,4.41,5.88,18.32
Cuba,LATIN AMER. & CARIB,11382820,110860,102.7,2900,97,74.7,33.05,7.6,11.89
Dominica,LATIN AMER. & CARIB,68910,754,91.4,5400,94,304.8,6.67,20,15.27
Dominican Republic,LATIN AMER. & CARIB,9183984,48730,188.5,6000,84.7,97.4,22.65,10.33,23.22
Ecuador,LATIN AMER. & CARIB,13547510,283560,47.8,3300,92.5,125.6,5.85,4.93,22.29
El Salvador,LATIN AMER. & CARIB,6822378,21040,324.3,4800,80.2,142.4,31.85,12.07,26.61
French Guiana,LATIN AMER. & CARIB,199509,91000,2.2,8300,83,255.6,0.14,0.05,20.46
Grenada,LATIN AMER. & CARIB,89703,344,260.8,5000,98,364.5,5.88,29.41,22.08
Guadeloupe,LATIN AMER. & CARIB,452776,1780,254.4,8000,90,463.8,11.24,3.55,15.05
Guatemala,LATIN AMER. & CARIB,12293545,108890,112.9,4100,70.6,92.1,12.54,5.03,29.88
Guyana,LATIN AMER. & CARIB,767245,214970,3.6,4000,98.8,143.5,2.44,0.15,18.28
Haiti,LATIN AMER. & CARIB,8308504,27750,299.4,1600,52.9,16.9,28.3,11.61,36.44
Honduras,LATIN AMER. & CARIB,7326496,112090,65.4,2600,76.2,67.5,9.55,3.22,28.24
Jamaica,LATIN AMER. & CARIB,2758124,10991,250.9,3900,87.9,124,16.07,10.16,20.82
Martinique,LATIN AMER. & CARIB,436131,1100,396.5,14400,97.7,394.4,10.38,9.43,13.74
Mexico,LATIN AMER. & CARIB,107449525,1972550,54.5,9000,92.2,181.6,12.99,1.31,20.69
Montserrat,LATIN AMER. & CARIB,9439,102,92.5,3400,97,,20,0,17.59
Netherlands Antilles,LATIN AMER. & CARIB,221736,960,231,11400,96.7,365.3,10,0,14.78
Nicaragua,LATIN AMER. & CARIB,5570129,129494,43,2300,67.5,39.7,15.94,1.94,24.51
Panama,LATIN AMER. & CARIB,3191319,78200,40.8,6300,92.6,137.9,7.36,1.98,21.74
Paraguay,LATIN AMER. & CARIB,6506464,406750,16,4700,94,49.2,7.6,0.23,29.1
Peru,LATIN AMER. & CARIB,28302603,1285220,22,5100,90.9,79.5,2.89,0.4,20.48
Puerto Rico,LATIN AMER. & CARIB,3927188,13790,284.8,16800,94.1,283.1,3.95,5.52,12.77
Saint Kitts & Nevis,LATIN AMER. & CARIB,39129,261,149.9,8800,97,638.9,19.44,2.78,18.02
Saint Lucia,LATIN AMER. & CARIB,168458,616,273.5,5400,67,303.3,6.56,22.95,19.68
Saint Vincent and the Grenadines,LATIN AMER. & CARIB,117848,389,303,2900,96,190.9,17.95,17.95,16.18
Suriname,LATIN AMER. & CARIB,439117,163270,2.7,4000,93,184.7,0.37,0.06,18.02
Trinidad & Tobago,LATIN AMER. & CARIB,1065842,5128,207.9,9500,98.6,303.5,14.62,9.16,12.9
Turks & Caicos Is,LATIN AMER. & CARIB,21152,430,49.2,9600,98,269.5,2.33,0,21.84
Uruguay,LATIN AMER. & CARIB,3431932,176220,19.5,12800,98,291.4,7.43,0.23,13.91
Venezuela,LATIN AMER. & CARIB,25730435,912050,28.2,4800,93.4,140.1,2.95,0.92,18.71
Virgin Islands,LATIN AMER. & CARIB,108605,1910,56.9,17200,,652.8,11.76,2.94,13.96
Bahrain,NEAR EAST,698585,665,1050.5,16900,89.1,281.3,2.82,5.63,17.8
Cyprus,NEAR EAST,784301,9250,84.8,19200,97.6,,7.79,4.44,12.56
Gaza Strip,NEAR EAST,1428757,360,3968.8,600,,244.3,28.95,21.05,39.45
Iraq,NEAR EAST,26783383,437072,61.3,1500,40.4,38.6,13.15,0.78,31.98
Israel,NEAR EAST,6352117,20770,305.8,19800,95.4,462.3,16.39,4.17,17.97
Jordan,NEAR EAST,5906760,92300,64,4300,91.3,104.5,2.67,1.83,21.25
Kuwait,NEAR EAST,2418393,17820,135.7,19000,83.5,211,0.73,0.11,21.94
Lebanon,NEAR EAST,3874050,10400,372.5,4800,87.4,255.6,16.62,13.98,18.52
Oman,NEAR EAST,3102229,212460,14.6,13100,75.8,85.5,0,0.14,36.24
Qatar,NEAR EAST,885359,11437,77.4,21500,82.5,232,1.64,0.27,15.56
Saudi Arabia,NEAR EAST,27019731,1960582,13.8,11800,78.8,140.6,1.67,0.09,29.34
Syria,NEAR EAST,18881361,185180,102,3300,76.9,153.8,25.22,4.43,27.76
Turkey,NEAR EAST,70413958,780580,90.2,6700,86.5,269.5,30.93,3.31,16.62
